config,tp,train_pf,train_nlr,test_pf,test_nlr,full_pf,full_net
SL100 D(1.5/3.0/5.0) BE20,"(150.0, 300.0, 500.0)",1.869,88.6,1.55,88.0,1.742,27100.92
SL100 D(1.5/3.0/5.0) BE9999,"(150.0, 300.0, 500.0)",1.83,40.57,1.881,40.52,1.834,47483.57
SL100 C(1.25/2.5/3.75) BE20,"(125.0, 250.0, 375.0)",1.806,88.6,1.556,88.0,1.714,26057.14
SL100 D(1.5/3.0/5.0) BE15,"(150.0, 300.0, 500.0)",1.785,91.18,1.575,90.46,1.71,22715.38
SL100 B(1.0/2.0/3.0) BE20,"(100.0, 200.0, 300.0)",1.768,88.6,1.569,88.0,1.696,25397.71
SL100 A(0.75/1.5/2.5) BE20,"(75.0, 150.0, 250.0)",1.763,88.6,1.578,88.0,1.698,25488.02
SL100 C(1.25/2.5/3.75) BE9999,"(125.0, 250.0, 375.0)",1.745,48.11,1.806,47.06,1.755,45483.36
SL100 C(1.25/2.5/3.75) BE15,"(125.0, 250.0, 375.0)",1.703,91.18,1.598,90.46,1.679,21722.52
SL80 D(1.5/3.0/5.0) BE9999,"(120.0, 240.0, 400.0)",1.675,44.1,1.901,47.17,1.75,55200.65
SL100 A(0.75/1.5/2.5) BE15,"(75.0, 150.0, 250.0)",1.666,91.18,1.62,90.46,1.667,21353.37
SL100 B(1.0/2.0/3.0) BE15,"(100.0, 200.0, 300.0)",1.663,91.18,1.595,90.46,1.653,20890.47
SL100 B(1.0/2.0/3.0) BE9999,"(100.0, 200.0, 300.0)",1.663,62.74,1.733,64.05,1.679,45823.93
